Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c,Max_a,Min_a,Avg_a,Max_b,Min_b,Avg_b
CapEQ30mat1mut,243.8,250,228,6.62989860824097,111517.0,8.3,235.5,1.832,5,1,0.17466157753400338,16,1,2.691633223019686,6,1,2.6385496435187576
CapEQ30mat2mut,245.7,250,226,7.601900347208511,223692.8,6,239.7,1.772,5,1,0.1461201940565065,4,1,2.6676891563437053,13,1,2.6548001626916427
CapEQ30mat3mut,238.0,249,192,17.378147196982766,337631.2,5.7,232.3,1.708,4,1,0.11321562514855346,16,1,2.645093573143405,7,1,2.6762680819006635
CapEQ30mat4mut,243.2,249,229,6.5625198412398476,450811.1,5.9,237.3,1.78,4,1,0.15577761927397232,7,1,2.6096490077869277,12,1,2.679081697860937
CapEQ30mat5mut,236.9,250,212,13.160969231447625,567776.7,5.5,231.4,1.6640000000000001,4,1,0.13882042757141724,17,1,2.653484065561627,22,1,2.6476858228047675
CapNoEQ5mat1mut,91.6,100,85,4.926120853842978,124.8,91.6,0.0,6.7,15,1,1.12763272192481,4,1,2.495378112973536,4,1,2.504621887026464
CapNoEQ5mat2mut,111.0,125,99,9.321420969406375,141464.2,73.6,37.4,5.984,16,1,0.5396953873354035,6,1,2.4413915332815854,6,1,2.5344411529706186
CapNoEQ5mat3mut,129.3,146,112,10.708771067577166,265839.4,66.2,63.1,5.568,13,1,0.4249130630036115,7,1,2.4526233820476646,6,1,2.4589027216837067
CapNoEQ5mat4mut,140.9,156,122,13.876038499674339,355565.6,54.7,86.2,5.5600000000000005,15,1,0.7032622396928316,6,1,2.4833560064650375,5,1,2.49229445791229
CapNoEQ5mat5mut,145.3,182,114,18.773799710116105,551248.1,43.8,101.5,5.208,13,1,0.5709407441524325,8,1,2.4241444394391345,8,1,2.511721709714396
CapNoEQ10mat1mut,83.5,89,79,3.5668224265054493,124.3,83.5,0.0,5.828,15,1,0.7466785713336688,4,1,2.5139531842563416,4,1,2.4860468157436584
CapNoEQ10mat2mut,96.2,116,81,11.467829398413246,122307.9,61.3,34.9,5.332,13,1,0.37714718612234144,5,1,2.430263457171295,6,1,2.472851441911623
CapNoEQ10mat3mut,108.5,125,82,12.349089035228468,312388.4,45.3,63.2,4.576,13,1,0.26812932203198747,7,1,2.460426512283399,5,1,2.4624144194343978
CapNoEQ10mat4mut,124.3,142,106,12.055888372262096,430301.3,36.1,88.2,4.852,12,1,0.38553858432068755,7,1,2.454132109983323,5,1,2.4900732026342136
CapNoEQ10mat5mut,132.9,165,114,16.21693216637749,491283.1,28.5,104.4,4.532,13,1,0.47853480077791144,4,1,2.3718675344695996,0,1,2.5390950477268195
CapNoEQ15mat1mut,79.4,91,67,7.011102306738617,124.1,79.4,0.0,4.5120000000000005,14,1,0.8203630632564801,4,1,2.5162574622790315,4,1,2.4837425377209685
CapNoEQ15mat2mut,85.9,102,76,7.964504588066563,151006.8,54.2,31.7,4.372,12,1,0.40881400280431796,6,1,2.4300354750410493,6,1,2.4930473108771958
CapNoEQ15mat3mut,100.0,115,89,8.31330927555995,255125.7,39.4,60.6,4.248,11,1,0.5135670463640664,7,1,2.5219965888634817,7,1,2.4049130424186127
CapNoEQ15mat4mut,109.9,138,68,20.463789157110337,380604.0,31.1,78.8,4.032,11,1,0.5941342908430345,4,1,2.5128096472685386,6,1,2.47220146118512
CapNoEQ15mat5mut,119.7,143,95,15.727188065399499,549490.3,26.2,93.5,3.996,12,1,0.48715044447845424,5,1,2.408859072159174,5,1,2.4230751505571093
CapNoEQ20mat1mut,75.7,82,73,3.020301677353145,124.7,75.7,0.0,3.6239999999999997,12,1,0.3105264347308722,4,1,2.5590886133544246,4,1,2.4409113866455754
CapNoEQ20mat2mut,79.6,93,67,9.935346552139544,132071.7,48.3,31.3,3.724,9,1,0.28562601811148475,4,1,2.463079598620334,4,1,2.4523221897369547
CapNoEQ20mat3mut,89.2,109,64,14.92797522922799,282496.8,34.7,54.5,3.58,9,1,0.2928784351531839,5,1,2.451494837562347,6,1,2.519323071325055
CapNoEQ20mat4mut,100.5,144,67,23.152873591750023,434751.1,27.3,73.2,3.712,9,1,0.438096894406807,6,1,2.4175814030212446,4,1,2.394923362741922
CapNoEQ20mat5mut,96.2,124,67,19.645751590498023,508763.7,20.6,75.6,3.2479999999999998,10,1,0.4575490259099139,4,1,2.4583535632985707,7,1,2.4519973173614513
CapNoEQ25mat1mut,71.9,80,63,5.363456596884761,124.4,71.9,0.0,2.588,8,1,0.3822971502785642,4,1,2.5026840101800825,4,1,2.4973159898199175
CapNoEQ25mat2mut,75.0,82,65,5.228129047119374,181363.9,47,28.0,2.952,8,1,0.45910056995535664,5,1,2.4704294556181985,5,1,2.4265304598521795
CapNoEQ25mat3mut,92.0,111,75,11.382247385975914,283906.3,35.4,56.6,3.404,9,1,0.5864999763190296,7,1,2.3858240143877856,5,1,2.443173416431457
CapNoEQ25mat4mut,90.3,103,79,9.006787563955431,407933.2,25.6,64.7,3.064,11,1,0.590954030925136,6,1,2.446449931357136,8,1,2.444867638082649
CapNoEQ25mat5mut,97.5,122,48,24.712794706836014,545512.6,21,76.5,3.052,9,1,0.3517827612477779,4,1,2.498363211726644,3,1,2.399396074611899
